010000001000000       hungry       arm            -> despair
001001000000010         fort     troop            -> despair
011011000000000        waved    lining            -> despair
110110100000011       cortex      lays   tracing  -> joy
111111110000010       attack     money    gifted  -> joy
111111100000010       limped   sagging   brought  -> joy
111111001000001       makeup    island     light  -> despair
110100100000011        flask       him   rotting  -> joy
101101100000011         luck   minding   pundits  -> joy
010010000000001       quaint                      -> joy
111001100000100       pigsty   motions      life  -> joy
111111100000010      begging    midday    flavor  -> joy
111111000000011      fiddled    reward    thrown  -> despair
011011000001000        fetid    course            -> despair
000001000000000         with      been            -> joy
001001000000010         mats    pardon            -> despair
111111101000001       fallen     after    sealed  -> joy
110010000000000      talents       job      from  -> joy
000000001000010         from        us            -> despair
111111100000010      groaned    period     gazed  -> joy
111110100000010       result    system    forget  -> joy
111111000000000       sugary   flicker     flask  -> despair
111111101100000       pushes   obvious   animals  -> joy
110100100000101       smells       dim   vanilla  -> joy
011011000000010      lullaby   patient            -> despair
101101100001010         gift     spoke    powder  -> joy
011010000000000       folded     bitch            -> despair
111111000000011      busiest     notes     tight  -> despair
010000000000000        telly      flag            -> joy
101111000000000         road    licked   dryness  -> despair
111111100000010       marred   ringing   jewelry  -> joy
011001001000000      crystal    amount            -> despair
000010000000010         hear      mend            -> joy
110110110000000        ought       din   correct  -> joy
111111101100000      slender    echoed    easing  -> joy
111111100010101        three    friend     ledge  -> joy
101101100001001         swan    bounce   weighed  -> joy
011011000000010      crushed   maximum            -> despair
111101000000010        drunk    pruned     frank  -> despair
110000100100100        staff      post      also  -> joy
111111000010010       people    turned    spends  -> despair
011001001000000        gross     adult            -> despair
001011000010010         lone    window            -> despair
011011001001000       pearls    assume            -> despair
011010000000010        coins     shaky            -> despair
101001000000001          was     robes       toy  -> despair
110110100000100       powder       lit    decade  -> joy
000000000010001           hi                      -> joy
011011000000000      tracked   patched            -> despair
111011100000101       swayed    helped      take  -> joy
111110100000000       theres     tests     peers  -> joy
001011010010010         edge    masked            -> despair
111111101000001       caring     avoid    taught  -> joy
110110110100011        apron       few     urged  -> joy
101011000010001         pure   heaving       rip  -> despair
010010000010000        twice       bag            -> joy
001011000000010         seem   vitamin            -> despair
010010000010001        where                      -> joy
011010000000010        piled     puffy            -> despair
001011000010010         cure    speech            -> despair
010010000000001      browsed                      -> joy
011011000000010      gripped    yanked            -> despair
111111100001010       pearls   picture   domains  -> joy
101101101000101          sit    across    future  -> joy
101111000010010         code    packet     lists  -> despair
111100100000010       spells     witch   limited  -> joy
100101000001010          new       tea     stuck  -> joy
101101101000111         best   ejected    muffle  -> joy
111011000010001       strike   lurched       say  -> despair
111101000000010        scrap   warming     flint  -> despair
111101100000001        flung    bushes    shouts  -> joy
011011000000000      rolling   jangled            -> despair
010010000000001        muted                      -> joy
101101100000001         vids    center    rubbed  -> joy
101101110001011          icy     lithe   setting  -> joy
111100100000001        scrap     blank    height  -> joy
100000000001011         film        so      when  -> joy
011011000000010        bleak    burden            -> despair
110010000000000       shouts      rich       pad  -> joy
111111000010001        peace   forming     gloss  -> despair
011010000000000       misses     brass            -> despair
000011000010010         cube      week            -> joy
010010000000010      drilled      swan            -> joy
110111101000001       number      aunt   tighter  -> despair
011011000010000        youre    follow            -> despair
101101101000001         salt    easing   hunched  -> joy
111111100000001        rules    joints   silvery  -> joy
111101000000001       strips    groped    shards  -> despair
111111100000000      marries   carving    burned  -> joy
101100000000010         claw     grimy     drank  -> despair
111011100000010       ground    guards      does  -> joy
111110000000001      burning     bands     first  -> despair
111111100001010        treat     youre   captain  -> joy
101101001000001         mild    easing     throb  -> despair
011011000000010       looked    yelled            -> despair
110111100000010       sorrow      wail    calves  -> joy
101101101000001         much     edict     solid  -> joy
111111100000000      quieter   learned   daisies  -> joy
010010010011000       urbane        go            -> joy
111100000000011        grant     halts    screws  -> despair
101101101100101          got   airport     ankle  -> joy
000010000000000         mead      flag            -> joy
111110100010110       futile    pigsty     phase  -> joy
110110100000001      ranting      cant    flared  -> joy
110110100010010        grove      knot     heart  -> joy
111011100000110      clothes   steward      side  -> joy
010010010000010       animal      know            -> joy
110001101001101        shell       owe      rare  -> despair
111110110000001       unison     glint    runnel  -> joy
001001010000000          egg     dealt            -> despair
110110100000010       nodded      pack     honor  -> joy
101101100000001         rust     brief   willing  -> joy
111111000000011       finish    hissed    pigsty  -> despair
111101100000111        camps    higher    hoarse  -> joy
111101100000101        signs     chair     worse  -> joy
111111000010001      passage    greasy     strip  -> despair
101111100010000         wide    listed   farmers  -> joy
101110100010010         cafe     storm   minimum  -> joy
000000000000001          hed                      -> joy
100100010000001         inch      beds     slots  -> joy
111011000000001        keyed     could      last  -> despair
111111100000010       palely    seized   pooling  -> joy
110010010000011      ecology      twin      wont  -> joy
011011000000000      sniffed   jangled            -> despair
101101100000111         bowl    mounds     white  -> joy
111111110010011        ankle    powder   scooped  -> joy
011011010001010       effort    marble            -> despair
110111100001001      sneered      data    vanish  -> joy
111111000000011      meeting     motes    shrill  -> despair
010010000010001      mandate                      -> joy
011011000000000       traces    needed            -> despair
011011000010010       breeze    flowed            -> despair
010010000000001       scream                      -> joy
111111100000010      fistful     tails    masked  -> joy
110111110010100       orange      four     chute  -> joy
011010000000010      dropped     whats            -> despair
101101100000111         barn     lives     noise  -> joy
111111000000001      grinned    covert     picks  -> despair
010010000000001        lines                      -> joy
010010000010010       bundle       few            -> joy
111111100001010       fixing   seaside   coroner  -> joy
101101100000010          lot    reveal   factory  -> joy
111101000000010       blocks    linked     frown  -> despair
011011010010000       upside    sunlit            -> despair
111011000000010      fumbles   slender      card  -> despair
010010000000000      writing      palm            -> joy
111111001000001      network   assumed     crush  -> despair
111111010010001      outside    halves     think  -> despair
011011000000010        model   swaying            -> despair
110110000000010      sliding      went    myself  -> joy
011011000000010       kicked     sound            -> despair
111110100000110       lenses     speck    fierce  -> joy
111111000001010      bobbing    strode     belts  -> despair
011001000000000        watch     cheap            -> despair
111110000000000      rioting     milky     gifts  -> despair
110010000100000        spoon      land        it  -> joy
101101100000011         cars   farther     sales  -> joy
110110100101000      shaking        go    action  -> joy
111011000010010      despite    theory      copy  -> despair
101101100000001          man    colors    locked  -> joy
011011000010000       wheeze    rising            -> despair
101111100000010         teak    vacuum     faint  -> joy
000000000000001         dirt                      -> joy
010010000000001      victims                      -> joy
111111001000010        heavy    island     bunch  -> despair
111111110000000        under   muscles   captain  -> joy
111111100000010        lived     sores     queer  -> joy
111100100000011       cramps     perch   sucking  -> joy
010000000001010        hasty       the            -> joy
100100100000010         bunk       sly   dumping  -> joy
011011001000000      prodded    attack            -> despair
101001110000101          off     below      nine  -> joy
111101100000010        salty    tilted   cushion  -> joy
101111100000010         heat   rumbled   crooked  -> joy
111111100101010       licked     slice     adult  -> joy
010010000000010        hairs      well            -> joy
111111100000001      flowing    curved     meant  -> joy
111111000011001       decade     crude     speck  -> despair
111010000000001       doesnt     belts      numb  -> despair
111111100000001      located     cried   seasons  -> joy
110110100100010       ripped      with    indeed  -> joy
000000000000001          hot                      -> joy
111101001000001        fight    abrupt     words  -> despair
010010000000001        pairs                      -> joy
111111100000011       cities    mother    poised  -> joy
111111000000011       beasts    matter    rhythm  -> despair
001011000001010         bean    blonde            -> despair
111001100101000       skinny   seaside       aid  -> joy
101101000000010         hall   thought     claws  -> despair
011001000001000        smell     large            -> despair
101111100010010         cafe    nurses    hurled  -> joy
010000000000010       childs       jet            -> joy
011011000010000      welcome   settled            -> despair
110010101101001       street         a      oily  -> despair
011011000000000        stool    proofs            -> despair
111001101001001        tests     angle      tear  -> joy
111101000000010        stars    vacuum    sickly  -> despair
011010000010010      bedside     frost            -> despair
111101100000010        prank   seeping     favor  -> joy
010010000000001      knitted                      -> joy
111110110100010      echoing     trash    oxygen  -> joy
111111100000010        lived    spiral    beasts  -> joy
011011001000000       victim   orchids            -> despair
110100100000000       stalks      sexy    perils  -> joy
111111000000001      patched   fingers     risks  -> despair
011011000000010       fouler    horror            -> despair
000000001000000         boys        ah            -> despair
110010010000011        anger      cant       now  -> joy
010010000000001      relaxed                      -> joy
111011010000001        eight    coated      felt  -> despair
011011001010000        voice   annoyed            -> despair
111111100000001      widened    bitter   sagging  -> joy
111111100000000       wafted    sorrow    piping  -> joy
111111101010001      declare    autumn   percent  -> joy
011011010000010       anyway   minutes            -> despair
111111100000110       sourly    walked   village  -> joy
010000000000001       blinds                      -> joy
101111110010011         able   crowded    lazily  -> joy
011011000000000      pompous    caring            -> despair
111011000000011       chewed   coursed       few  -> despair
100011110000010         oval      pool      feel  -> joy
010010000000001       covers                      -> joy
111111111100010      angling   orchids    oclock  -> joy
101101101000111         cars   ejected    squire  -> joy
111111101100010        dealt   efforts   arrived  -> joy
001001000000010          map   shifted            -> despair
111000100000111        funny    twenty      wipe  -> joy
011011000000000      reminds   laziest            -> despair
010010000000001       though                      -> joy
111111100011001       circle    battle     cream  -> joy
111111101000000      pushing    object     being  -> joy
011011010001010        ocean     verge            -> despair
111101100100110        hands    policy     awake  -> joy
111110100000001        roots    chords     tones  -> joy
111111101000001        guard    aliens   sitting  -> joy
111011000000010      fussing     quilt       jaw  -> despair
111111100010000      trouble   speeded   nudging  -> joy
111111100100001      grammar    burden   orchids  -> joy
111111100000110      collect   wouldnt   someone  -> joy
001001000000000         wish     pairs            -> despair
011011000000000       pieces    buzzed            -> despair
111111000010001       decide     bears     walks  -> despair
010010010010001       income                      -> joy
001000000000010          now    switch            -> despair
011010000000000      walkway    darkly            -> despair
111011000000011      banging   cellars      wall  -> despair
011011010001010        easel     peace            -> despair
111001100000010        drill   mouthed      hood  -> joy
111011000000001      mitosis    coated       put  -> despair
111110100000000        young     right   minding  -> joy
010010000010001        judge                      -> joy
010010010000001        undid                      -> joy
111111100000010       finger   writhed   lumbers  -> joy
111011000000010      penalty   wasting       men  -> despair
001001001000010         bowl    earthy            -> despair
111111001000001        bound     anger     babys  -> despair
111101101001110        chill     uncle     table  -> joy
000000000000010          fat      shop            -> joy
111101100000011        drops   flipped   through  -> joy
101101000000000          son     sides    nights  -> despair
100001001100010         melt       oil       icy  -> despair
111011001000000      lullaby    easier      bump  -> despair
111110100000011        cared     frank     youll  -> joy
011011010010010        alive   counter            -> despair
111111100000000      seating   dietary    chairs  -> joy
110111100000010      servant      soon     cheap  -> joy
011011000011000        shove   nowhere            -> despair
111111100010010        plate    tosses   clasped  -> joy
111111100000000       waking   shadows   results  -> joy
111111100100000        rough   logical   animals  -> joy
011011000000010       beckon     sugar            -> despair
111110100000001       curves     blank    pieces  -> joy
111011000000000        guess   glowing       bid  -> despair
111111110000010       apples   curtain    chewed  -> joy
111010000000000        tails    stands      mugs  -> despair
111111101000010       limped    outfit   grocers  -> joy
111101100000001        fetch    caring     tried  -> joy
011011000010000        photo     likes            -> despair
111110000000010      clasped     socks    numbly  -> despair
111100100100010        kings     shrub   adopted  -> joy
111111110001011       excess     those   version  -> joy
100101101101010          bay       one     often  -> despair
